method,split,seed,mean_success,ci95_success,mean_force_violation,ci95_force_violation,mean_damage,ci95_damage,mean_latent_accuracy,ci95_latent_accuracy,mean_false_memory_alarm,ci95_false_memory_alarm,mean_energy,ci95_energy,mean_cost,ci95_cost,groups
online_residual_system_id,delayed_observation_shift,1,0.5449,0.0210,0.2340,0.0127,0.1537,0.0153,0.4925,0.0180,0.2119,0.0140,0.4067,0.0026,0.7038,0.0152,35
online_residual_system_id,delayed_observation_shift,2,0.5469,0.0195,0.2187,0.0134,0.1514,0.0140,0.4551,0.0188,0.2051,0.0149,0.4073,0.0025,0.6937,0.0178,35
online_residual_system_id,delayed_observation_shift,3,0.5456,0.0174,0.2211,0.0157,0.1663,0.0150,0.4755,0.0192,0.2051,0.0134,0.4073,0.0021,0.7093,0.0167,35
online_residual_system_id,delayed_observation_shift,4,0.5344,0.0150,0.2306,0.0175,0.1578,0.0142,0.4759,0.0182,0.2112,0.0178,0.4072,0.0023,0.7064,0.0158,35
online_residual_system_id,delayed_observation_shift,5,0.5252,0.0227,0.2248,0.0127,0.1718,0.0152,0.4612,0.0223,0.2061,0.0152,0.4062,0.0022,0.7154,0.0162,35
online_residual_system_id,delayed_observation_shift,6,0.5367,0.0195,0.2177,0.0154,0.1629,0.0123,0.4633,0.0153,0.2092,0.0161,0.4081,0.0024,0.7050,0.0116,35
online_residual_system_id,embodiment_shift,0,0.5694,0.0157,0.2078,0.0167,0.1473,0.0112,0.4925,0.0147,0.1956,0.0155,0.3954,0.0029,0.6720,0.0161,35
online_residual_system_id,embodiment_shift,1,0.5690,0.0171,0.2184,0.0126,0.1449,0.0136,0.5000,0.0224,0.2020,0.0108,0.3956,0.0021,0.6757,0.0144,35
online_residual_system_id,embodiment_shift,2,0.5752,0.0218,0.2048,0.0132,0.1415,0.0125,0.4915,0.0220,0.1901,0.0125,0.3957,0.0025,0.6651,0.0145,35
online_residual_system_id,embodiment_shift,3,0.5588,0.0214,0.2119,0.0171,0.1517,0.0169,0.4803,0.0198,0.2027,0.0132,0.3959,0.0023,0.6789,0.0192,35
online_residual_system_id,embodiment_shift,4,0.5585,0.0194,0.2150,0.0153,0.1459,0.0136,0.4946,0.0198,0.1898,0.0136,0.3964,0.0020,0.6757,0.0126,35
online_residual_system_id,embodiment_shift,5,0.5507,0.0143,0.2190,0.0135,0.1571,0.0132,0.4701,0.0166,0.1864,0.0161,0.3965,0.0027,0.6887,0.0162,35
online_residual_system_id,embodiment_shift,6,0.5667,0.0225,0.2126,0.0165,0.1459,0.0115,0.4867,0.0138,0.1820,0.0169,0.3955,0.0023,0.6734,0.0153,35
online_residual_system_id,hidden_force_shift,0,0.5626,0.0188,0.2316,0.0150,0.1588,0.0124,0.4497,0.0189,0.2224,0.0169,0.4281,0.0021,0.7288,0.0146,35
online_residual_system_id,hidden_force_shift,1,0.5643,0.0165,0.2224,0.0155,0.1776,0.0139,0.4602,0.0172,0.2170,0.0194,0.4308,0.0022,0.7442,0.0170,35
online_residual_system_id,hidden_force_shift,2,0.5646,0.0153,0.2282,0.0137,0.1741,0.0138,0.4558,0.0207,0.2313,0.0166,0.4285,0.0024,0.7419,0.0170,35
online_residual_system_id,hidden_force_shift,3,0.5452,0.0161,0.2330,0.0205,0.1592,0.0125,0.4575,0.0173,0.2177,0.0152,0.4298,0.0020,0.7316,0.0182,35
online_residual_system_id,hidden_force_shift,4,0.5435,0.0209,0.2408,0.0155,0.1684,0.0154,0.4463,0.0180,0.2136,0.0160,0.4279,0.0025,0.7427,0.0153,35
online_residual_system_id,hidden_force_shift,5,0.5425,0.0201,0.2391,0.0158,0.1531,0.0148,0.4680,0.0190,0.2126,0.0120,0.4303,0.0026,0.7296,0.0148,35
online_residual_system_id,hidden_force_shift,6,0.5561,0.0176,0.2367,0.0148,0.1711,0.0156,0.4599,0.0167,0.2061,0.0152,0.4297,0.0023,0.7449,0.0163,35
online_residual_system_id,nominal,0,0.6201,0.0182,0.1527,0.0140,0.1102,0.0092,0.5146,0.0173,0.1755,0.0131,0.2966,0.0020,0.5077,0.0120,35
online_residual_system_id,nominal,1,0.6252,0.0181,0.1534,0.0123,0.1184,0.0104,0.4922,0.0210,0.1796,0.0113,0.2925,0.0020,0.5117,0.0128,35
online_residual_system_id,nominal,2,0.6150,0.0186,0.1619,0.0131,0.1201,0.0108,0.5095,0.0144,0.1752,0.0123,0.2948,0.0021,0.5203,0.0145,35
online_residual_system_id,nominal,3,0.6000,0.0173,0.1527,0.0141,0.1133,0.0149,0.4966,0.0175,0.1762,0.0164,0.2957,0.0025,0.5097,0.0163,35
online_residual_system_id,nominal,4,0.6095,0.0175,0.1646,0.0123,0.1092,0.0113,0.5061,0.0169,0.1718,0.0136,0.2965,0.0021,0.5132,0.0123,35
online_residual_system_id,nominal,5,0.6201,0.0178,0.1517,0.0135,0.1129,0.0124,0.4949,0.0216,0.1820,0.0130,0.2954,0.0022,0.5085,0.0127,35
online_residual_system_id,nominal,6,0.6293,0.0173,0.1480,0.0120,0.1167,0.0087,0.5207,0.0166,0.1813,0.0149,0.2951,0.0017,0.5097,0.0114,35
oracle_latent_force_planner,combined_stress,0,0.8357,0.0161,0.1827,0.0159,0.1371,0.0137,0.8224,0.0121,0.0541,0.0085,0.4398,0.0027,0.6857,0.0145,35
oracle_latent_force_planner,combined_stress,1,0.8286,0.0180,0.1949,0.0156,0.1303,0.0138,0.8187,0.0148,0.0514,0.0112,0.4381,0.0025,0.6843,0.0173,35
oracle_latent_force_planner,combined_stress,2,0.8367,0.0168,0.1738,0.0128,0.1303,0.0143,0.8313,0.0146,0.0452,0.0062,0.4381,0.0018,0.6726,0.0165,35
oracle_latent_force_planner,combined_stress,3,0.8238,0.0154,0.1857,0.0155,0.1286,0.0104,0.8276,0.0164,0.0466,0.0069,0.4386,0.0022,0.6781,0.0134,35
oracle_latent_force_planner,combined_stress,4,0.8439,0.0150,0.1980,0.0110,0.1303,0.0134,0.8201,0.0141,0.0588,0.0081,0.4377,0.0024,0.6855,0.0140,35
oracle_latent_force_planner,combined_stress,5,0.8207,0.0145,0.1898,0.0145,0.1384,0.0129,0.8041,0.0131,0.0571,0.0079,0.4382,0.0026,0.6893,0.0153,35
oracle_latent_force_planner,combined_stress,6,0.8422,0.0117,0.1782,0.0167,0.1493,0.0126,0.8160,0.0169,0.0558,0.0070,0.4374,0.0019,0.6925,0.0171,35
oracle_latent_force_planner,delayed_observation_shift,0,0.8286,0.0144,0.1408,0.0113,0.0949,0.0109,0.8398,0.0123,0.0551,0.0070,0.3607,0.0029,0.5435,0.0109,35
oracle_latent_force_planner,delayed_observation_shift,1,0.8269,0.0127,0.1422,0.0134,0.1031,0.0109,0.8551,0.0111,0.0527,0.0084,0.3597,0.0023,0.5510,0.0110,35
oracle_latent_force_planner,delayed_observation_shift,2,0.8187,0.0162,0.1500,0.0112,0.1099,0.0120,0.8473,0.0145,0.0497,0.0078,0.3590,0.0024,0.5611,0.0134,35
oracle_latent_force_planner,delayed_observation_shift,3,0.8303,0.0164,0.1354,0.0140,0.1068,0.0094,0.8524,0.0137,0.0582,0.0065,0.3587,0.0027,0.5498,0.0114,35
oracle_latent_force_planner,delayed_observation_shift,4,0.8354,0.0169,0.1510,0.0142,0.1014,0.0131,0.8442,0.0134,0.0497,0.0093,0.3602,0.0025,0.5548,0.0172,35
oracle_latent_force_planner,delayed_observation_shift,5,0.8197,0.0154,0.1364,0.0122,0.1010,0.0110,0.8585,0.0134,0.0480,0.0073,0.3591,0.0026,0.5453,0.0121,35
oracle_latent_force_planner,delayed_observation_shift,6,0.8371,0.0125,0.1361,0.0119,0.1000,0.0114,0.8469,0.0167,0.0507,0.0076,0.3591,0.0023,0.5441,0.0152,35
oracle_latent_force_planner,embodiment_shift,0,0.8037,0.0138,0.1204,0.0112,0.1082,0.0122,0.8605,0.0142,0.0517,0.0081,0.3484,0.0017,0.5326,0.0134,35
oracle_latent_force_planner,embodiment_shift,1,0.8105,0.0178,0.1320,0.0125,0.0976,0.0126,0.8667,0.0119,0.0514,0.0089,0.3500,0.0025,0.5305,0.0167,35
oracle_latent_force_planner,embodiment_shift,2,0.8037,0.0150,0.1218,0.0122,0.0980,0.0128,0.8629,0.0131,0.0384,0.0061,0.3488,0.0025,0.5241,0.0145,35
oracle_latent_force_planner,embodiment_shift,3,0.8037,0.0168,0.1262,0.0100,0.1065,0.0116,0.8588,0.0132,0.0517,0.0087,0.3507,0.0020,0.5365,0.0140,35
oracle_latent_force_planner,embodiment_shift,4,0.8139,0.0136,0.1197,0.0121,0.1007,0.0078,0.8799,0.0126,0.0544,0.0101,0.3485,0.0022,0.5252,0.0115,35
oracle_latent_force_planner,embodiment_shift,5,0.8099,0.0153,0.1235,0.0123,0.1031,0.0131,0.8765,0.0123,0.0442,0.0071,0.3500,0.0017,0.5310,0.0139,35
oracle_latent_force_planner,embodiment_shift,6,0.8048,0.0132,0.1310,0.0129,0.1010,0.0122,0.8731,0.0129,0.0469,0.0091,0.3484,0.0026,0.5316,0.0152,35
oracle_latent_force_planner,hidden_force_shift,0,0.7908,0.0185,0.1544,0.0135,0.1095,0.0117,0.8469,0.0119,0.0531,0.0078,0.3834,0.0026,0.5876,0.0142,35
oracle_latent_force_planner,hidden_force_shift,1,0.8133,0.0133,0.1582,0.0166,0.1211,0.0115,0.8480,0.0123,0.0503,0.0077,0.3830,0.0018,0.6002,0.0160,35
oracle_latent_force_planner,hidden_force_shift,2,0.8041,0.0145,0.1503,0.0160,0.0993,0.0116,0.8531,0.0128,0.0548,0.0086,0.3828,0.0019,0.5750,0.0150,35
oracle_latent_force_planner,hidden_force_shift,3,0.7942,0.0157,0.1588,0.0158,0.1112,0.0120,0.8520,0.0125,0.0456,0.0078,0.3806,0.0019,0.5889,0.0150,35
oracle_latent_force_planner,hidden_force_shift,4,0.8031,0.0158,0.1527,0.0136,0.1143,0.0120,0.8510,0.0139,0.0449,0.0070,0.3819,0.0022,0.5897,0.0146,35
oracle_latent_force_planner,hidden_force_shift,5,0.7956,0.0164,0.1381,0.0149,0.1133,0.0134,0.8486,0.0142,0.0510,0.0073,0.3832,0.0016,0.5820,0.0157,35
oracle_latent_force_planner,hidden_force_shift,6,0.8041,0.0129,0.1527,0.0152,0.1122,0.0140,0.8354,0.0137,0.0568,0.0087,0.3838,0.0023,0.5897,0.0187,35
oracle_latent_force_planner,nominal,0,0.7888,0.0124,0.0677,0.0112,0.0646,0.0097,0.8932,0.0109,0.0493,0.0086,0.2478,0.0022,0.3616,0.0119,35
oracle_latent_force_planner,nominal,1,0.8031,0.0132,0.0694,0.0097,0.0561,0.0080,0.8878,0.0111,0.0466,0.0072,0.2485,0.0021,0.3552,0.0109,35
oracle_latent_force_planner,nominal,2,0.7908,0.0156,0.0799,0.0096,0.0684,0.0107,0.8820,0.0126,0.0459,0.0077,0.2480,0.0020,0.3721,0.0129,35
oracle_latent_force_planner,nominal,3,0.7922,0.0147,0.0765,0.0109,0.0656,0.0115,0.8895,0.0102,0.0463,0.0085,0.2479,0.0019,0.3675,0.0119,35
oracle_latent_force_planner,nominal,4,0.7990,0.0187,0.0728,0.0090,0.0520,0.0081,0.8810,0.0101,0.0459,0.0085,0.2485,0.0025,0.3532,0.0108,35
oracle_latent_force_planner,nominal,5,0.8071,0.0139,0.0718,0.0097,0.0639,0.0107,0.8915,0.0115,0.0520,0.0091,0.2486,0.0021,0.3640,0.0114,35
oracle_latent_force_planner,nominal,6,0.7881,0.0121,0.0803,0.0100,0.0622,0.0085,0.8820,0.0116,0.0456,0.0068,0.2509,0.0021,0.3694,0.0099,35
proposed_force_memory_transformer,combined_stress,0,0.6718,0.0208,0.2207,0.0174,0.1721,0.0141,0.6707,0.0172,0.1187,0.0103,0.4597,0.0024,0.7614,0.0174,35
proposed_force_memory_transformer,combined_stress,1,0.6514,0.0199,0.2306,0.0177,0.1575,0.0145,0.6510,0.0174,0.1146,0.0124,0.4608,0.0024,0.7540,0.0186,35
proposed_force_memory_transformer,combined_stress,2,0.6609,0.0176,0.2391,0.0152,0.1558,0.0147,0.6626,0.0167,0.1180,0.0117,0.4597,0.0020,0.7560,0.0173,35
proposed_force_memory_transformer,combined_stress,3,0.6670,0.0168,0.2143,0.0138,0.1520,0.0126,0.6752,0.0200,0.1102,0.0090,0.4612,0.0025,0.7403,0.0167,35
proposed_force_memory_transformer,combined_stress,4,0.6735,0.0154,0.2452,0.0147,0.1629,0.0108,0.6480,0.0158,0.1102,0.0111,0.4590,0.0022,0.7655,0.0136,35
proposed_force_memory_transformer,combined_stress,5,0.6595,0.0175,0.2412,0.0198,0.1653,0.0151,0.6554,0.0187,0.1105,0.0111,0.4606,0.0024,0.7671,0.0194,35
proposed_force_memory_transformer,combined_stress,6,0.6633,0.0214,0.2276,0.0142,0.1636,0.0146,0.6684,0.0175,0.1184,0.0127,0.4604,0.0023,0.7578,0.0153,35
proposed_force_memory_transformer,delayed_observation_shift,0,0.6956,0.0171,0.1857,0.0133,0.1262,0.0114,0.6653,0.0205,0.1095,0.0103,0.3818,0.0026,0.6206,0.0148,35
proposed_force_memory_transformer,delayed_observation_shift,1,0.6786,0.0155,0.1874,0.0144,0.1296,0.0137,0.6918,0.0179,0.1051,0.0129,0.3842,0.0023,0.6272,0.0171,35
proposed_force_memory_transformer,delayed_observation_shift,2,0.7034,0.0218,0.1922,0.0150,0.1201,0.0124,0.6799,0.0170,0.1075,0.0122,0.3816,0.0020,0.6181,0.0155,35
proposed_force_memory_transformer,delayed_observation_shift,3,0.6915,0.0180,0.1925,0.0159,0.1296,0.0142,0.6639,0.0188,0.1037,0.0110,0.3818,0.0023,0.6276,0.0145,35
proposed_force_memory_transformer,delayed_observation_shift,4,0.6884,0.0168,0.1946,0.0153,0.1286,0.0121,0.6643,0.0191,0.1102,0.0130,0.3837,0.0017,0.6296,0.0146,35
proposed_force_memory_transformer,delayed_observation_shift,5,0.6912,0.0186,0.1939,0.0146,0.1276,0.0104,0.6874,0.0183,0.1010,0.0117,0.3815,0.0021,0.6261,0.0114,35
proposed_force_memory_transformer,delayed_observation_shift,6,0.6986,0.0165,0.1857,0.0116,0.1320,0.0100,0.6793,0.0142,0.1048,0.0082,0.3840,0.0021,0.6283,0.0134,35
proposed_force_memory_transformer,embodiment_shift,0,0.6554,0.0199,0.1820,0.0177,0.1296,0.0106,0.6861,0.0192,0.1034,0.0100,0.3708,0.0021,0.6108,0.0153,35
proposed_force_memory_transformer,embodiment_shift,1,0.6643,0.0179,0.1735,0.0137,0.1296,0.0119,0.7109,0.0173,0.1017,0.0113,0.3715,0.0025,0.6068,0.0124,35
proposed_force_memory_transformer,embodiment_shift,2,0.6789,0.0151,0.1752,0.0129,0.1306,0.0115,0.7150,0.0176,0.1058,0.0097,0.3704,0.0022,0.6076,0.0133,35
proposed_force_memory_transformer,embodiment_shift,3,0.6616,0.0162,0.1605,0.0113,0.1194,0.0119,0.7075,0.0156,0.1000,0.0104,0.3707,0.0022,0.5892,0.0132,35
proposed_force_memory_transformer,embodiment_shift,4,0.6711,0.0188,0.1680,0.0134,0.1381,0.0130,0.7031,0.0212,0.1051,0.0123,0.3720,0.0018,0.6124,0.0160,35
proposed_force_memory_transformer,embodiment_shift,5,0.6793,0.0196,0.1701,0.0118,0.1218,0.0129,0.7037,0.0136,0.1010,0.0115,0.3711,0.0020,0.5971,0.0144,35
proposed_force_memory_transformer,embodiment_shift,6,0.6643,0.0177,0.1721,0.0120,0.1252,0.0137,0.7017,0.0161,0.0956,0.0113,0.3712,0.0022,0.6016,0.0128,35
proposed_force_memory_transformer,hidden_force_shift,0,0.6704,0.0197,0.1847,0.0152,0.1357,0.0108,0.6782,0.0197,0.1041,0.0105,0.4042,0.0023,0.6515,0.0155,35
proposed_force_memory_transformer,hidden_force_shift,1,0.6718,0.0157,0.2051,0.0128,0.1520,0.0124,0.6690,0.0173,0.1078,0.0112,0.4027,0.0023,0.6768,0.0146,35
proposed_force_memory_transformer,hidden_force_shift,2,0.6840,0.0217,0.1857,0.0093,0.1459,0.0141,0.6643,0.0189,0.1139,0.0118,0.4037,0.0021,0.6613,0.0142,35
proposed_force_memory_transformer,hidden_force_shift,3,0.6762,0.0199,0.2010,0.0203,0.1429,0.0132,0.6786,0.0171,0.1102,0.0123,0.4035,0.0023,0.6666,0.0181,35
proposed_force_memory_transformer,hidden_force_shift,4,0.6653,0.0153,0.1929,0.0126,0.1435,0.0142,0.6796,0.0171,0.1054,0.0128,0.4054,0.0019,0.6646,0.0169,35
proposed_force_memory_transformer,hidden_force_shift,5,0.6986,0.0202,0.2000,0.0159,0.1442,0.0111,0.6813,0.0168,0.1017,0.0099,0.4051,0.0021,0.6689,0.0146,35
proposed_force_memory_transformer,hidden_force_shift,6,0.6483,0.0196,0.1986,0.0145,0.1459,0.0127,0.6772,0.0177,0.1204,0.0117,0.4060,0.0025,0.6707,0.0164,35
proposed_force_memory_transformer,nominal,0,0.7088,0.0187,0.1122,0.0130,0.0888,0.0107,0.7197,0.0201,0.0942,0.0100,0.2716,0.0019,0.4345,0.0141,35
proposed_force_memory_transformer,nominal,1,0.7102,0.0154,0.1126,0.0107,0.0874,0.0125,0.7276,0.0141,0.0912,0.0122,0.2709,0.0017,0.4326,0.0137,35
proposed_force_memory_transformer,nominal,2,0.7163,0.0175,0.1177,0.0140,0.0759,0.0088,0.7184,0.0168,0.0976,0.0102,0.2723,0.0018,0.4259,0.0107,35
proposed_force_memory_transformer,nominal,3,0.7003,0.0171,0.1248,0.0146,0.0891,0.0110,0.7065,0.0169,0.0935,0.0110,0.2716,0.0019,0.4418,0.0134,35
proposed_force_memory_transformer,nominal,4,0.7048,0.0139,0.1211,0.0117,0.0942,0.0108,0.7354,0.0172,0.0918,0.0102,0.2713,0.0022,0.4442,0.0119,35
proposed_force_memory_transformer,nominal,5,0.7139,0.0150,0.1194,0.0124,0.0905,0.0131,0.7306,0.0178,0.0895,0.0117,0.2708,0.0020,0.4392,0.0144,35
proposed_force_memory_transformer,nominal,6,0.7065,0.0177,0.1109,0.0139,0.0956,0.0128,0.7252,0.0165,0.0854,0.0101,0.2699,0.0025,0.4385,0.0129,35
recurrent_contact_policy,combined_stress,0,0.4456,0.0180,0.3007,0.0132,0.2109,0.0176,0.4160,0.0173,0.1707,0.0117,0.4768,0.0022,0.8505,0.0175,35
recurrent_contact_policy,combined_stress,1,0.4531,0.0175,0.3054,0.0164,0.2313,0.0191,0.4153,0.0169,0.1782,0.0125,0.4739,0.0027,0.8696,0.0217,35
recurrent_contact_policy,combined_stress,2,0.4619,0.0165,0.3143,0.0155,0.2214,0.0150,0.4204,0.0205,0.1844,0.0134,0.4755,0.0019,0.8667,0.0155,35
recurrent_contact_policy,combined_stress,3,0.4616,0.0220,0.3078,0.0165,0.2095,0.0141,0.4119,0.0192,0.1837,0.0154,0.4751,0.0020,0.8515,0.0172,35
recurrent_contact_policy,combined_stress,4,0.4646,0.0204,0.3265,0.0174,0.2010,0.0152,0.4102,0.0229,0.1799,0.0123,0.4744,0.0023,0.8530,0.0185,35
recurrent_contact_policy,combined_stress,5,0.4605,0.0181,0.3143,0.0173,0.2092,0.0133,0.3891,0.0218,0.1850,0.0130,0.4778,0.0023,0.8573,0.0180,35
recurrent_contact_policy,combined_stress,6,0.4588,0.0207,0.3082,0.0161,0.2105,0.0130,0.3993,0.0193,0.1799,0.0118,0.4758,0.0026,0.8533,0.0150,35
recurrent_contact_policy,delayed_observation_shift,0,0.5167,0.0138,0.2816,0.0162,0.1806,0.0179,0.4286,0.0220,0.1571,0.0116,0.3991,0.0025,0.7336,0.0205,35
recurrent_contact_policy,delayed_observation_shift,1,0.5054,0.0155,0.2735,0.0153,0.1779,0.0113,0.4364,0.0159,0.1534,0.0143,0.3967,0.0026,0.7241,0.0134,35
recurrent_contact_policy,delayed_observation_shift,2,0.5248,0.0232,0.2636,0.0154,0.1929,0.0132,0.4483,0.0190,0.1602,0.0108,0.3971,0.0025,0.7333,0.0185,35
recurrent_contact_policy,delayed_observation_shift,3,0.5211,0.0155,0.2561,0.0164,0.1799,0.0130,0.4531,0.0155,0.1599,0.0142,0.3964,0.0017,0.7162,0.0171,35
recurrent_contact_policy,delayed_observation_shift,4,0.5255,0.0188,0.2629,0.0156,0.1728,0.0127,0.4286,0.0158,0.1592,0.0161,0.3996,0.0021,0.7164,0.0142,35
recurrent_contact_policy,delayed_observation_shift,5,0.5221,0.0212,0.2721,0.0168,0.1721,0.0146,0.4408,0.0202,0.1500,0.0142,0.3980,0.0023,0.7192,0.0163,35
recurrent_contact_policy,delayed_observation_shift,6,0.5105,0.0183,0.2534,0.0154,0.1854,0.0128,0.4357,0.0177,0.1554,0.0117,0.3956,0.0023,0.7190,0.0156,35
recurrent_contact_policy,embodiment_shift,0,0.5228,0.0146,0.2514,0.0133,0.1861,0.0139,0.4531,0.0137,0.1493,0.0108,0.3860,0.0021,0.7090,0.0160,35
recurrent_contact_policy,embodiment_shift,1,0.5082,0.0194,0.2534,0.0143,0.1714,0.0138,0.4476,0.0234,0.1374,0.0124,0.3878,0.0023,0.6980,0.0159,35
recurrent_contact_policy,embodiment_shift,2,0.5095,0.0198,0.2476,0.0175,0.1776,0.0124,0.4571,0.0175,0.1565,0.0116,0.3864,0.0020,0.6993,0.0173,35
recurrent_contact_policy,embodiment_shift,3,0.5092,0.0188,0.2415,0.0145,0.1755,0.0168,0.4289,0.0217,0.1405,0.0124,0.3849,0.0021,0.6924,0.0168,35
recurrent_contact_policy,embodiment_shift,4,0.5279,0.0183,0.2449,0.0142,0.1714,0.0142,0.4446,0.0188,0.1429,0.0148,0.3857,0.0021,0.6913,0.0160,35
recurrent_contact_policy,embodiment_shift,5,0.5156,0.0181,0.2435,0.0188,0.1697,0.0159,0.4378,0.0185,0.1561,0.0125,0.3853,0.0025,0.6885,0.0196,35
recurrent_contact_policy,embodiment_shift,6,0.5170,0.0208,0.2463,0.0164,0.1816,0.0132,0.4395,0.0186,0.1432,0.0150,0.3860,0.0022,0.7020,0.0172,35
recurrent_contact_policy,hidden_force_shift,0,0.5340,0.0225,0.2973,0.0166,0.1833,0.0146,0.4316,0.0171,0.1701,0.0147,0.4209,0.0021,0.7665,0.0170,35
recurrent_contact_policy,hidden_force_shift,1,0.5255,0.0228,0.2850,0.0209,0.1799,0.0143,0.4333,0.0197,0.1697,0.0140,0.4192,0.0026,0.7549,0.0163,35
recurrent_contact_policy,hidden_force_shift,2,0.5241,0.0191,0.2741,0.0145,0.1993,0.0154,0.4177,0.0127,0.1650,0.0143,0.4190,0.0021,0.7672,0.0157,35
recurrent_contact_policy,hidden_force_shift,3,0.5337,0.0191,0.2704,0.0156,0.1793,0.0136,0.4350,0.0160,0.1690,0.0139,0.4180,0.0023,0.7451,0.0145,35
recurrent_contact_policy,hidden_force_shift,4,0.5303,0.0174,0.2752,0.0180,0.1963,0.0156,0.4126,0.0178,0.1639,0.0149,0.4206,0.0022,0.7664,0.0192,35
recurrent_contact_policy,hidden_force_shift,5,0.5357,0.0229,0.2602,0.0135,0.1813,0.0142,0.4163,0.0174,0.1714,0.0105,0.4193,0.0023,0.7426,0.0148,35
recurrent_contact_policy,hidden_force_shift,6,0.5241,0.0175,0.2765,0.0130,0.1850,0.0154,0.4384,0.0161,0.1731,0.0167,0.4193,0.0024,0.7552,0.0175,35
recurrent_contact_policy,nominal,0,0.5956,0.0205,0.2082,0.0162,0.1405,0.0114,0.4741,0.0202,0.1265,0.0130,0.2839,0.0019,0.5398,0.0129,35
recurrent_contact_policy,nominal,1,0.5946,0.0179,0.1973,0.0130,0.1439,0.0150,0.4748,0.0176,0.1367,0.0114,0.2862,0.0022,0.5394,0.0178,35
recurrent_contact_policy,nominal,2,0.5956,0.0178,0.1983,0.0152,0.1391,0.0125,0.4690,0.0177,0.1296,0.0132,0.2860,0.0022,0.5352,0.0144,35
recurrent_contact_policy,nominal,3,0.6024,0.0183,0.1929,0.0134,0.1558,0.0162,0.4796,0.0191,0.1299,0.0127,0.2862,0.0021,0.5482,0.0190,35
recurrent_contact_policy,nominal,4,0.5993,0.0172,0.1986,0.0143,0.1463,0.0134,0.4748,0.0168,0.1296,0.0130,0.2843,0.0024,0.5404,0.0158,35
recurrent_contact_policy,nominal,5,0.6187,0.0223,0.1966,0.0136,0.1551,0.0132,0.4707,0.0162,0.1167,0.0114,0.2852,0.0025,0.5486,0.0163,35
recurrent_contact_policy,nominal,6,0.6272,0.0186,0.2003,0.0143,0.1327,0.0128,0.4793,0.0168,0.1245,0.0102,0.2842,0.0024,0.5284,0.0146,35
robust_force_threshold_mpc,combined_stress,0,0.3874,0.0152,0.2299,0.0183,0.1619,0.0124,0.2915,0.0170,0.3065,0.0175,0.5133,0.0019,0.8224,0.0153,35
robust_force_threshold_mpc,combined_stress,1,0.4024,0.0205,0.2262,0.0163,0.1724,0.0146,0.2949,0.0188,0.3051,0.0172,0.5146,0.0021,0.8316,0.0181,35
robust_force_threshold_mpc,combined_stress,2,0.4037,0.0208,0.2289,0.0168,0.1772,0.0128,0.3119,0.0162,0.2990,0.0205,0.5131,0.0022,0.8361,0.0171,35
robust_force_threshold_mpc,combined_stress,3,0.4139,0.0186,0.2279,0.0126,0.1748,0.0127,0.2990,0.0228,0.2871,0.0139,0.5123,0.0019,0.8326,0.0138,35
robust_force_threshold_mpc,combined_stress,4,0.3782,0.0191,0.2483,0.0151,0.1707,0.0115,0.3037,0.0159,0.2946,0.0131,0.5140,0.0024,0.8415,0.0149,35
robust_force_threshold_mpc,combined_stress,5,0.3956,0.0157,0.2207,0.0131,0.1677,0.0117,0.2983,0.0175,0.2871,0.0141,0.5126,0.0017,0.8221,0.0133,35
robust_force_threshold_mpc,combined_stress,6,0.3946,0.0176,0.2207,0.0178,0.1578,0.0109,0.3129,0.0163,0.2874,0.0154,0.5135,0.0025,0.8137,0.0149,35
robust_force_threshold_mpc,delayed_observation_shift,0,0.4728,0.0179,0.1765,0.0133,0.1323,0.0106,0.3265,0.0132,0.2653,0.0170,0.4351,0.0020,0.6867,0.0115,35
robust_force_threshold_mpc,delayed_observation_shift,1,0.4612,0.0209,0.1837,0.0143,0.1364,0.0121,0.3289,0.0193,0.2711,0.0143,0.4343,0.0023,0.6937,0.0131,35
robust_force_threshold_mpc,delayed_observation_shift,2,0.4534,0.0180,0.1827,0.0121,0.1340,0.0141,0.3269,0.0174,0.2653,0.0138,0.4346,0.0029,0.6912,0.0167,35
robust_force_threshold_mpc,delayed_observation_shift,3,0.4595,0.0163,0.1881,0.0169,0.1282,0.0133,0.3313,0.0184,0.2857,0.0116,0.4360,0.0025,0.6901,0.0162,35
robust_force_threshold_mpc,delayed_observation_shift,4,0.4541,0.0178,0.1769,0.0154,0.1350,0.0120,0.3218,0.0185,0.2748,0.0178,0.4341,0.0023,0.6885,0.0156,35
robust_force_threshold_mpc,delayed_observation_shift,5,0.4687,0.0173,0.1765,0.0147,0.1269,0.0132,0.3248,0.0199,0.2779,0.0155,0.4349,0.0022,0.6814,0.0151,35
robust_force_threshold_mpc,delayed_observation_shift,6,0.4643,0.0189,0.1881,0.0178,0.1401,0.0145,0.3265,0.0143,0.2731,0.0182,0.4363,0.0025,0.7016,0.0203,35
robust_force_threshold_mpc,embodiment_shift,0,0.4759,0.0182,0.1707,0.0157,0.1327,0.0139,0.3503,0.0167,0.2697,0.0199,0.4231,0.0022,0.6718,0.0184,35
robust_force_threshold_mpc,embodiment_shift,1,0.4721,0.0208,0.1656,0.0136,0.1303,0.0116,0.3510,0.0196,0.2605,0.0175,0.4245,0.0024,0.6682,0.0124,35
robust_force_threshold_mpc,embodiment_shift,2,0.4731,0.0150,0.1650,0.0145,0.1187,0.0129,0.3388,0.0194,0.2483,0.0156,0.4244,0.0025,0.6567,0.0153,35
